Airport ID,Encoded value
ABE,0
ABI,1
ABQ,2
ABR,3
ABY,4
ACK,5
ACT,6
ACV,7
ACY,8
ADK,9
ADQ,10
AEX,11
AGS,12
AKN,13
ALB,14
ALO,15
ALW,16
AMA,17
ANC,18
APN,19
ART,20
ASE,21
ATL,22
ATW,23
AUS,24
AVL,25
AVP,26
AZA,27
AZO,28
BDL,29
BET,30
BFF,31
BFL,32
BGM,33
BGR,34
BHM,35
BIH,36
BIL,37
BIS,38
BJI,39
BLI,40
BLV,41
BMI,42
BNA,43
BOI,44
BOS,45
BPT,46
BQK,47
BQN,48
BRD,49
BRO,50
BRW,51
BTM,52
BTR,53
BTV,54
BUF,55
BUR,56
BWI,57
BZN,58
CAE,59
CAK,60
CDC,61
CDV,62
CHA,63
CHO,64
CHS,65
CID,66
CIU,67
CKB,68
CLD,69
CLE,70
CLL,71
CLT,72
CMH,73
CMI,74
CMX,75
CNY,76
COD,77
COS,78
COU,79
CPR,80
CRP,81
CRW,82
CSG,83
CVG,84
CWA,85
CYS,86
DAB,87
DAL,88
DAY,89
DCA,90
DDC,91
DEC,92
DEN,93
DFW,94
DHN,95
DIK,96
DLG,97
DLH,98
DRO,99
DRT,100
DSM,101
DTW,102
DVL,103
EAR,104
EAT,105
EAU,106
ECP,107
EGE,108
EKO,109
ELM,110
ELP,111
ERI,112
ESC,113
EUG,114
EVV,115
EWN,116
EWR,117
EYW,118
FAI,119
FAR,120
FAT,121
FAY,122
FCA,123
FLG,124
FLL,125
FLO,126
FMN,127
FNT,128
FOD,129
FSD,130
FSM,131
FWA,132
GCC,133
GCK,134
GEG,135
GFK,136
GGG,137
GJT,138
GNV,139
GPT,140
GRB,141
GRI,142
GRK,143
GRR,144
GSO,145
GSP,146
GST,147
GTF,148
GTR,149
GUC,150
GUF,151
GUM,152
HDN,153
HGR,154
HHH,155
HIB,156
HLN,157
HNL,158
HOB,159
HOU,160
HPN,161
HRL,162
HSV,163
HTS,164
HYA,165
HYS,166
IAD,167
IAG,168
IAH,169
ICT,170
IDA,171
ILM,172
IMT,173
IND,174
INL,175
ISP,176
ITH,177
ITO,178
JAC,179
JAN,180
JAX,181
JFK,182
JLN,183
JMS,184
JNU,185
JST,186
KOA,187
KTN,188
LAN,189
LAR,190
LAS,191
LAW,192
LAX,193
LBB,194
LBE,195
LBF,196
LBL,197
LCH,198
LCK,199
LEX,200
LFT,201
LGA,202
LGB,203
LIH,204
LIT,205
LNK,206
LRD,207
LSE,208
LWS,209
LYH,210
MAF,211
MBS,212
MCI,213
MCO,214
MCW,215
MDT,216
MDW,217
MEI,218
MEM,219
MFE,220
MFR,221
MGM,222
MGW,223
MHK,224
MHT,225
MIA,226
MKE,227
MLB,228
MLI,229
MLU,230
MOB,231
MOT,232
MQT,233
MRY,234
MSN,235
MSO,236
MSP,237
MSY,238
MTJ,239
MVY,240
MYR,241
OAJ,242
OAK,243
OGG,244
OKC,245
OMA,246
OME,247
ONT,248
ORD,249
ORF,250
ORH,251
OTH,252
OTZ,253
OWB,254
PAE,255
PBG,256
PBI,257
PDX,258
PGD,259
PGV,260
PHF,261
PHL,262
PHX,263
PIA,264
PIB,265
PIE,266
PIH,267
PIT,268
PLN,269
PNS,270
PPG,271
PQI,272
PRC,273
PSC,274
PSE,275
PSG,276
PSM,277
PSP,278
PUB,279
PUW,280
PVD,281
PVU,282
PWM,283
RAP,284
RDD,285
RDM,286
RDU,287
RFD,288
RHI,289
RIC,290
RIW,291
RKS,292
RNO,293
ROA,294
ROC,295
ROW,296
RST,297
RSW,298
SAF,299
SAN,300
SAT,301
SAV,302
SBA,303
SBN,304
SBP,305
SBY,306
SCC,307
SCE,308
SCK,309
SDF,310
SEA,311
SFB,312
SFO,313
SGF,314
SGU,315
SHR,316
SHV,317
SIT,318
SJC,319
SJT,320
SJU,321
SLC,322
SLN,323
SMF,324
SMX,325
SNA,326
SPI,327
SPN,328
SPS,329
SRQ,330
STC,331
STL,332
STS,333
STT,334
STX,335
SUN,336
SUX,337
SWF,338
SWO,339
SYR,340
TLH,341
TOL,342
TPA,343
TRI,344
TTN,345
TUL,346
TUS,347
TVC,348
TWF,349
TXK,350
TYR,351
TYS,352
USA,353
VCT,354
VEL,355
VLD,356
VPS,357
WRG,358
WYS,359
XNA,360
XWA,361
YAK,362
YKM,363
YUM,364
